"","biomarkers"
"1","ABHD5"
"2","AHCTF1"
"3","ATP8A1"
"4","B3GNT5"
"5","C9orf78"
"6","CARM1"
"7","CASP8"
"8","CD300LB"
"9","CD4"
"10","CD8A"
"11","CLEC4E"
"12","CNTNAP3"
"13","DAP"
"14","F13A1"
"15","FAM8A1"
"16","FOS"
"17","FUT7"
"18","GNLY"
"19","HBA2"
"20","HLAA"
"21","KRT23"
"22","LMBRD1"
"23","NAPA"
"24","NFKBIA"
"25","PABPC1"
"26","PPP3R1"
"27","RGS2"
"28","SCARNA5"
"29","SF3B1"
"30","SH3BGRL3"
"31","SULT1A1"
"32","TGFBI"
"33","ZNF185"
"34","ATP11A"
"35","FPR2"
"36","IL1R2"
"37","MME"
"38","PTPN18"
"39","QKI"
"40","SEMA4D"
"41","COPB1"
"42","GNAS"
"43","MAP3K8"
"44","PELI1"
"45","PLXNC1"
"46","PTAR1"
"47","TIA1"
"48","VCAN"
"49","VPS13A"
"50","ZNF609"
"51","CHP1"
"52","CISH"
"53","CMC1"
"54","CTDSP2"
"55","CTSA"
"56","DESI1"
"57","GBE1"
"58","ITSN1"
"59","KIAA1551"
"60","RALGPS2"
"61","SMCHD1"
"62","ZNF281"
"63","CECR1"
"64","FNIP1"
"65","LYST"
"66","SETX"
"67","TNFRSF10C"
"68","KY"
"69","VMRC53"
"70","LOC254896"
"71","FPR1"
"72","IFRD1"
"73","ARG2"
"74","LCP1"
"75","PPBP"
"76","FOXJ1"
"77","JAM3"
"78","CREBBP"
"79","CD55"
"80","MAP3K5"
"81","TFRC"
"82","CDH1"
"83","TNFSF4"
"84","IL32"
"85","SBNO2"
"86","SPINK5"
"87","CD48"
"88","SAA1"
"89","IL1R1"
"90","SH2D1B"
"91","PSEN1"
"92","ITGA2B"
"93","THY1"
"94","IL15RA"
"95","IL26"
"96","CXCL10"
"97","LILRB1"
"98","PLAU"
"99","MS4A2"
"100","TLR7"
"101","LCN2"
"102","TNFSF10"
"103","SH2B2"
"104","ULBP2"
